chr	start	end	lnc
chr6	147160002	147525750	STXBP5-AS1
chr14	89257547	89259171	lnc-TTC8-1
chr19	24101882	24141028	lnc-ZNF681-2
chr2	179278385	179307765	lnc-DFNB59-2
chr9	95770396	95777226	lnc-NINJ1-2
chr19	46893714	46907906	lnc-CCDC8-1
chr2	171475137	171627278	LINC01124
chr12	69066936	69081535	lnc-CPM-2
chr4	174046339	174090831	lnc-HMGB2-3
chr6	96996505	97142303	lnc-GPR63-1
chr12	119825791	120105884	lnc-CIT-1
chr13	28403895	28495541	PDX1-AS1
chr7	150004700	150010334	lnc-RARRES2-1
chr2	74612612	74625991	DCTN1-AS1
chr5	140809957	140813405	lnc-DIAPH1-1
chr8	77396021	77595738	ZFHX4-AS1
chr5	88179144	88797268	MEF2C-AS1
chr20	62023922	62026342	lnc-COL20A1-2
chr11	82783107	82817761	RAB30-AS1
chr21	26757133	26804013	LINC00158
chr12	65860598	66040242	lnc-RP11-366L20.2.1-6
chr12	127094579	127175206	lnc-DHX37-9
chr10	129979295	130115990	lnc-PTPRE-1
chr19	37063971	37086667	ZNF529-AS1
chr20	24997637	25002860	lnc-CST7-2
chr5	157053310	157079407	lnc-C5orf52-1
chr12	111807067	111841114	lnc-SH2B3-1
chr1	79157	763539	LINC00115
chr1	149224532	149677289	LINC00869
chr11	18218203	18218884	lnc-RP11-113D6.10.1-2
chr11	33212345	33213144	lnc-CSTF3-4
chr3	197603465	197609382	lnc-IQCG-1
chr13	88079454	88323528	MIR4500HG
chr12	53408379	53448222	lnc-SPRYD3-1
chr19	57154522	57168614	lnc-ZNF71-1
chr11	133902166	133918269	lnc-JAM3-3
chr9	74919932	74958126	LINC01504
chr5	147646093	147763462	lnc-HTR4-1
chr2	27505300	27526416	lnc-UCN-1
chr11	115267473	115268376	lnc-FAM55B-4
chr1	202590422	202594367	lnc-PPP1R12B-2
chr15	65903569	65948423	lnc-C15orf44-1
chr4	152044021	152046413	lnc-LRBA-1
chr11	563689	568478	MIR210HG
chr8	131155671	131239794	lnc-FAM49B-1
chr16	30546072	30558315	lnc-ITGAL-2
chr7	8301067	8438388	lnc-NXPH1-2
chr5	169758396	169763859	LINC01366
chr20	37075220	37079568	SNHG11
chr17	41026686	41050751	LINC00671
chr8	26222805	26228645	lnc-PNMA2-1
chr20	21106623	21254395	lnc-XRN2-2
chr15	69682699	69707368	lnc-ANP32A-3
chr5	59783539	59852635	PART1
chr7	141403141	141438146	WEE2-AS1
chr11	43930838	43942494	ALKBH3-AS1
chr7	142493794	142497628	lnc-TRPV6-2
chr6	2245981	2484261	GMDS-AS1
chr12	102698132	102857269	lnc-C12orf48-2
chr3	180707023	181554668	SOX2-OT
chr11	27528384	27719795	BDNF-AS
chr3	62242332	62355017	PTPRG-AS1
chr5	115150891	115167558	lnc-AP3S1-1
chr12	62876128	62878722	lnc-C12orf61-1
chr17	70319263	70636611	lnc-SLC39A11-1
chr18	6919494	6929965	LINC00668
chr7	27495995	27498410	lnc-EVX1-15
chr11	112139939	112252218	lnc-PTS-1
chr17	73792289	74069495	lnc-SRP68-1
chr20	47273601	47275840	lnc-ARFGEF2-1
chr6	111803915	111924133	TRAF3IP2-AS1
chr9	132245025	132278634	LINC00963
chr3	577913	894640	LINC01266
chr12	123171671	123200526	lnc-DENR-2
chr18	52961194	53230487	lnc-CCDC68-2
chr7	12628111	12634824	lnc-VWDE-2
chr10	102849077	102901023	TLX1NB
chr14	29733586	29850501	lnc-PRKD1-3
chr20	25120100	25130058	lnc-VSX1-1
chr12	23334232	23404433	lnc-SOX5-1
chr19	21621294	21646710	lnc-ZNF708-2
chr18	36737731	37380282	MIR924HG
chr22	46646273	46655189	lnc-PPARA-1
chr4	182795590	183066428	lnc-DCTD-4
chr14	61761408	61789859	lnc-TMEM30B-1
chr2	198570093	198572227	lnc-BOLL-1
chr7	149555488	149744747	ATP6V0E2-AS1
chr2	177037064	177053690	HAGLR
chr7	15707571	15721605	lnc-AC006035.2-3
chr16	84492864	84500967	lnc-KIAA1609-1
chr4	4543849	4789801	STX18-AS1
chr2	105049724	105137290	LINC01102
chr6	71897276	72187193	LINC00472
chr12	115059311	115060727	lnc-RP11-116D17.1.1-12
chr10	101286704	101288224	lnc-NKX2-3-1
chr1	211813004	211836203	lnc-TRAF5-5
chr17	16342135	16381992	LRRC75A-AS1
chr15	48582102	48624053	lnc-FBN1-3
chr12	81664386	81706201	lnc-ACSS3-1
chr8	60029950	60035995	lnc-SDCBP-2
chr19	37288322	37328495	ZNF790-AS1
chr14	98391946	99008671	LINC01550
chr4	66535309	66574070	EPHA5-AS1
chr18	43087166	43130148	lnc-SLC14A2-1
chr11	10827459	10936076	ZBED5-AS1
chr11	124669728	124704383	lnc-ROBO3-2
chr12	26092261	26112698	RASSF8-AS1
chr1	98518790	98862438	lnc-SNX7-1
chr20	291768	329402	NRSN2-AS1
chr22	21055219	21061126	lnc-POM121L4P-1
chr8	104165746	104311010	BAALC-AS1
chr2	101635003	101637620	lnc-RNF149-2
chr12	126443096	126467920	LINC00939
chr18	3983107	4248719	lnc-DLGAP1-2
chr11	85718320	85725382	lnc-CCDC83-1
chr1	6653264	6665864	lnc-ZBTB48-1
chr13	36432201	36481724	lnc-NBEA-2
chr4	90757551	90763142	SNCA-AS1
chr7	130491050	130875188	LINC-PINT
chr1	44964641	44969005	lnc-TMEM53-1
chr12	49961988	50001023	lnc-PRPF40B-1
chr19	55728027	55732984	lnc-BRSK1-1
chrX	51486515	51489023	lnc-NUDT11-3
chr1	2121263	2166793	lnc-AL590822.1-2
chr8	144812334	144839369	FAM83H-AS1
chr11	71502618	71530833	lnc-RP11-849H4.2.1-1
chr15	41316066	41322414	lnc-RHOV-1
chr13	100136204	100154001	LINC00449
chr1	101491401	101552935	lnc-SLC30A7-2
chr10	122517000	122610857	WDR11-AS1
chr3	109056586	109101875	lnc-TRAT1-4
chr4	39599080	39604927	lnc-UGDH-1
chr17	73970255	73972463	lnc-EVPL-1
chr9	109737113	109865269	lnc-KLF4-4
chr2	28605893	28634896	lnc-TRMT61B-5
chr18	66382445	66422236	lnc-CCDC102B-1
chr9	2840591	2844073	lnc-KCNV2-1
chr8	9743614	9764544	LINC00599
chr17	45060154	45177689	lnc-RPRML-3
chr22	31365143	31381211	TUG1
chr3	104241217	104331339	lnc-ALCAM-2
chr10	80686217	80829286	ZMIZ1-AS1
chr17	26256564	26301249	lnc-C17orf108-1
chr18	60249037	60253962	lnc-ZCCHC2-1
chr10	11294438	11298627	lnc-C10orf31-1
chr7	140037708	140040016	lnc-RAB19-1
chr21	34100416	34119383	PAXBP1-AS1
chr12	66245119	66275947	lnc-RP11-366L20.2.1-2
chr19	37264054	37267980	lnc-ZNF567-2
chrX	73183789	73513409	FTX
chr10	53953909	54185175	PRKG1-AS1
chr19	20326954	20331228	lnc-ZNF682-1
chr1	71169372	71252214	lnc-CTH-1
chr6	28129558	28137372	lnc-ZNF192-2
chr10	79938927	80434866	lnc-RPS24-3
chr1	213025303	213031480	FLVCR1-AS1
chr8	90558147	90769955	lnc-NBN-1
chr8	91658668	91668826	lnc-NECAB1-1
chr3	193675160	193789172	lnc-CPN2-4
chr19	19729726	19856065	lnc-ZNF101-1
chr3	186172769	186211450	lnc-CRYGS-1
chr7	131582399	131829910	lnc-MKLN1-2
chr1	173820422	173838144	GAS5
chr12	111374388	111399256	LINC01405
chr6	52441596	52505010	TRAM2-AS1
chr17	46694459	46699890	lnc-CALCOCO2-6
chr15	40213227	40218081	lnc-EIF2AK4-1
chr12	23716249	24716076	lnc-SOX5-5
chr19	9649391	9651416	lnc-ZNF177-2
chr4	14911584	15005947	CPEB2-AS1
chr15	50645949	50665153	GABPB1-AS1
chr12	130509037	130529602	lnc-TMEM132D-1
chrX	146969489	147003676	FMR1-AS1
chr6	2771261	2783599	lnc-NQO2-5
chr14	36367150	36705454	LINC00609
chr14	77490887	77536094	lnc-KIAA1737-1
chr6	3593987	3722355	lnc-PXDC1-1
chr12	9208181	9217675	LINC00612
chr1	43423947	43662177	SLC2A1-AS1
chr11	77850784	77886369	KCTD21-AS1
chr14	105559107	105565891	lnc-C14orf79-2
chr12	128571076	128603232	lnc-SLC15A4-2
chr1	65437907	65468172	LINC01359
chr13	30083551	30088215	lnc-MTUS2-1
chr6	170182678	170215208	LINC00574
chr4	129208725	129469090	lnc-LARP1B-1
chr12	13679787	13700516	lnc-EMP1-1
chr11	7405072	7534884	lnc-CYB5R2-3
chr19	16234470	16250725	lnc-CIB3-1
chr17	43325291	43347985	MAP3K14-AS1
chr4	22999104	23085444	lnc-SOD3-6
chr12	20273913	20282795	lnc-SLCO1A2-3
chr6	57125321	57128144	lnc-RAB23-1
chr11	17144988	17151081	lnc-NUCB2-1
chr2	113969092	114034158	PAX8-AS1
chr3	70048727	70511886	SAMMSON
chr19	19375870	19377728	lnc-NCAN-1
chr12	126578651	126591893	lnc-TMEM132B-3
chr16	56126898	56225012	lnc-CES5A-3
chr3	15111581	15136052	lnc-NR2C2-1
chr12	114117263	114211488	LINC01234
chr13	74803885	74982939	LINC00402
chr2	134022539	134042334	lnc-GPR39-4
chr20	1254053	1359379	SDCBP2-AS1
chr3	40189647	40351189	EIF1B-AS1
chr12	92815306	92889395	lnc-CLLU1.1-1
chr19	47163620	47180713	DACT3-AS1
chrX	73037609	73072588	XIST
chr19	58377135	58400442	lnc-ZNF814-1
chr22	48027345	48418798	lnc-TBC1D22A-4
chr2	197015986	197019605	lnc-SLC39A10-3
chr11	32875248	32879665	lnc-CCDC73-1
chr6	111982567	111989478	lnc-WISP3-3
chr17	3624403	4195024	lnc-GSG2-2
chr15	42264960	42291292	PLA2G4E-AS1
chr20	5971440	5986627	MCM8-AS1
chr5	87795399	87986858	LINC00461
chr2	65663070	66312403	lnc-ACTR2-3
chr6	108444718	108480596	OSTM1-AS1
chr14	27305933	27930810	lnc-FOXG1-4
chr9	98520891	98638394	LINC00476
chr12	48399059	48405010	lnc-COL2A1-2
chr4	109459345	109541620	RPL34-AS1
chr10	119805372	119975608	CASC2
chr4	2936625	2963465	NOP14-AS1
chr18	47340284	47377429	SNHG22
chr12	110171129	110211313	FAM222A-AS1
chr1	89003195	89150887	PKN2-AS1
chr19	55550478	55553257	lnc-EPS8L1-1
chr2	173541868	173600934	RAPGEF4-AS1
chr5	140165143	140175769	lnc-AC005609.1-2
chr3	62911172	63134472	LINC00698
chr17	4690327	4694029	lnc-VMO1-1
chr11	81590892	82429124	MIR4300HG
chr12	10705961	10712295	lnc-EIF2S3L.1-1
chr20	22528308	22559515	LINC00261
chr6	107164787	107235416	lnc-RTN4IP1-2
chr15	72583908	72776168	lnc-HEXA-1
chr17	3627197	3631210	lnc-P2RX5-5
chr12	13052295	13137579	lnc-GPRC5A-2
chr4	44018876	44024095	lnc-GUF1-3
chr16	25078244	25090107	lnc-LCMT1-1
chr5	148786251	148812512	CARMN
chr16	76668894	77109492	lnc-RP11-58C22.1.1-1
chr19	42636706	42661675	lnc-ZNF574-1
chr21	17300615	18017814	MIR99AHG
chr15	64663185	64667537	lnc-TRIP4-2
chr17	48833503	48844918	LINC00483
chr15	88795947	88814297	NTRK3-AS1
chr21	26943331	27416048	lnc-JAM2-1
chr15	74200235	74239565	LOXL1-AS1
chr3	6532165	6779804	lnc-GRM7-2
chr12	106097980	106137841	CASC18
chr7	27147395	27173921	HOXA-AS2
chr16	70190242	70207351	lnc-EXOSC6-2
chr8	6655897	6693166	lnc-DEFB1-1
chr2	44286098	44294916	lnc-LRPPRC-1
chr7	1609708	1662319	PSMG3-AS1
chr2	58236366	58245216	lnc-FANCL-1
chr21	38580803	38618031	DSCR9
chr11	43851258	43902276	lnc-ALX4-5
chr1	141473	173864	lnc-FAM138A-3
chr10	51549552	51562493	lnc-NCOA4-1
chr10	58058711	58074528	lnc-MTRNR2L5-3
chr10	67330095	67528593	LINC01515
chr1	120832101	120838343	lnc-FCGR1B-2
chr11	8739340	8931458	lnc-C11orf16-7
chr11	8948646	8954553	lnc-C11orf16-1
chr18	73408032	73424340	lnc-C18orf62-3
chr1	190444702	190463427	LINC01351
chr13	113517893	113521222	lnc-MCF2L-1
chr1	98440837	98515419	MIR137HG
chr15	66874527	66978136	LINC01169
chr5	180256955	180267133	LINC00847
chr13	98674416	98676530	lnc-RNF113B-2
chr2	74881378	74909182	lnc-C2orf65-1
chr4	174986061	175141549	lnc-FBXO8-4
chr12	67708477	67713732	lnc-CAND1-3
chr10	134775981	134796504	LINC01168
chr15	101421614	101459658	lnc-CHSY1-5
chr11	73594906	73597748	lnc-CHCHD8-1
chr6	25687069	25689029	lnc-HIST1H2BA-1
chr16	22019455	22098855	lnc-C16orf52-1
chr19	2414240	2654269	lnc-GADD45B-1
chr20	58658558	59228976	MIR646HG
chr15	89904809	89941721	MIR9-3HG
chr3	6532420	6625777	lnc-GRM7-3
chr8	54955498	54958189	lnc-LYPLA1-1
chr19	44084789	44088116	lnc-AC006276.7.1-1
chr1	179831572	179833589	lnc-TOR1AIP1-2
chr6	114185265	114194729	LINC01268
chr14	104146165	104150352	lnc-XRCC3-1
chr16	88947445	88953544	lnc-TRAPPC2L-1
chr21	46286279	46288992	lnc-ITGB2-1
chr19	1257244	1259141	lnc-C19orf26-2
chr8	10586823	10628902	lnc-C8orf74-1
chr1	150565058	150590027	lnc-ADAMTSL4-2
chr2	64834108	64843616	lnc-AFTPH-1
chr13	99155295	99158256	lnc-SLC15A1-1
chr8	18578407	18591915	lnc-NAT2-1
chr11	58897571	58910488	lnc-MPEG1-2
chr18	53440547	53448952	LINC01415
chr2	105476880	105490941	LINC01159
chr9	2411588	2643359	VLDLR-AS1
chr17	59436539	59488916	TBX2-AS1
chr9	134065296	134069592	lnc-FAM78A-1
chr19	48586088	48604226	lnc-ELSPBP1-1
chr2	16060893	16082371	MYCNOS
chr7	137314	165522	lnc-FAM20C-3
chr10	29743270	29746228	lnc-SVIL-1
chr11	65184052	65217564	NEAT1
chr11	65263737	65276556	MALAT1
chr4	10069712	10074643	lnc-WDR1-1
chr17	80200542	80203467	lnc-SLC16A3-1
chr4	75144013	75196255	lnc-CXCL2-1
chr14	61228127	61236361	lnc-SLC38A6-1
chr5	80700875	80703566	lnc-ZCCHC9-1
chr15	59060270	59063262	lnc-ADAM10-1
chr11	82895532	82905290	PCF11-AS1
chr2	175190754	175195371	LINC01305
chr10	81967465	81979413	LINC00857
chr3	72084450	72328654	LINC00877
chr17	78775439	78779432	lnc-AC127496.3-8
chr7	86953597	86974883	TP53TG1
chr12	91311799	91342446	LINC00615
chr1	44496101	44581609	lnc-KLF17-1
chr16	23652686	23686820	lnc-DCTN5-1
chr17	34215988	34245014	lnc-RDM1-1
chrX	39865615	39871680	lnc-ATP6AP2-4
chr12	104852872	104862733	lnc-NFYB-2
chr1	46162729	46165067	lnc-TMEM69-1
chrX	56755676	56847196	LINC01420
chr8	82608602	82610929	lnc-SLC10A5-1
chr19	21769595	21905511	lnc-ZNF429-2
chr17	40119784	40126494	lnc-DNAJC7-1
chr12	130606748	130646910	FZD10-AS1
chr19	45976340	45978414	lnc-RTN2-1
chr7	129959372	129982742	lnc-CEP41-1
chr11	9779838	9832866	SBF2-AS1
chr6	86368824	86388965	SNHG5
chr1	234782034	234818922	lnc-C1orf31-6
chr19	19465543	19606654	lnc-TSSK6-1
chr8	23571350	23600555	lnc-NKX2-6-1
chr1	68297970	68668670	GNG12-AS1
chr19	21770233	21777430	lnc-ZNF100-1
chr15	90816232	90821105	lnc-CIB1-1
chr1	67863728	67866317	lnc-IL12RB2-1
chr16	23886562	23889817	lnc-CHP2.1-1
chr15	55582085	55611359	lnc-RAB27A-1
chr6	10511268	10514779	lnc-TFAP2A-4
chr5	96364996	96367586	lnc-LIX1-1
chr12	129693145	129697263	lnc-GLT1D1-2
chr2	223182775	223217708	lnc-CCDC140-1
chr13	23429411	23490508	LINC00621
chr11	3050623	3062490	CARS-AS1
chr6	64395269	64423895	lnc-EYS-1
chr12	127214184	127256991	LINC00944
chr2	175411868	175639555	lnc-SCRN3-3
chr8	125860576	125966570	LINC00964
chr5	153708996	153825415	SAP30L-AS1
chr8	70746345	70768794	lnc-SULF1-3
chr20	34736647	34743682	lnc-SCAND1-3
chr5	140602914	140605611	lnc-SLC25A2-2
chr9	97316880	97348956	PCAT7
chr19	12305537	12370742	lnc-ZNF136-1
chr12	133485300	133493352	lnc-ZNF26-1
chr4	95038942	95128707	lnc-HPGDS-1
chr5	12574947	12879562	LINC01194
chr2	61367792	61372242	lnc-USP34-1
chr15	52471673	52502054	lnc-MAPK6-7
chr2	178107102	178111509	lnc-HNRNPA3-1
chr7	22551433	22690102	lnc-IL6-3
chr19	14853927	14859558	lnc-ZNF333-1
chr8	22446385	22451090	lnc-RP11-582J16.5.1-2
chr5	77638188	77656365	SCAMP1-AS1
chr3	15295690	15306005	SH3BP5-AS1
chr2	20068614	20095833	LINC00954
chr12	108827906	108886362	LINC01498
chr2	10588819	10597755	lnc-HPCAL1-1
chr12	42853167	42859930	lnc-PPHLN1-1
chr11	61355948	61377017	lnc-DAGLA-1
chr1	55222572	55230161	lnc-TTC4-1
chr16	28897203	28936455	lnc-ATP2A1-1
chrX	133674038	133683674	MIR503HG
chr2	89065323	89106126	lnc-RPIA-1
chrX	100258820	100262956	lnc-ARL13A-1
chr4	17484657	17541243	lnc-CLRN2-1
chr4	189321722	189602454	LINC01060
chr11	18610328	18634389	SPTY2D1-AS1
chr7	38347740	38429907	TRG-AS1
chr16	971032	984524	LMF1-AS1
chr8	120879658	120886728	lnc-DSCC1-1
chr5	75987263	76012040	lnc-F2RL2-2
chr11	10905667	10922015	lnc-ZBED5-1
chr17	80172102	80175228	lnc-CCDC57-1
chr15	62929370	62937490	lnc-RP11-625H11.1.1-1
chr7	29549790	29603386	lnc-CPVL-4
chr19	1822087	1824544	lnc-ONECUT3-1
chr15	89002708	89055760	lnc-MRPL46.1-1
chr15	58813509	58815570	lnc-FAM63B-2
chr3	11613716	11625091	lnc-ATG7-1
chr12	63397458	63400681	lnc-PPM1H-1
chr12	123210730	123215129	lnc-DENR-1
chr20	47785507	47790864	lnc-DDX27-3
chr12	24376184	24407838	lnc-LRMP-5
chr1	231499502	231504855	lnc-C1orf124-2
chr16	30627923	30635517	lnc-ZNF689-1
chr3	58277992	58280451	lnc-DNASE1L3-2
chr17	80244524	80250690	lnc-CSNK1D-1
chr16	1014986	1022082	lnc-C1QTNF8-4
chr19	19867180	19932559	LINC00663
chr12	10485459	10490891	lnc-RP11-277P12.7.1-2
chr4	41874582	41884972	LINC00682
chr19	44326208	44331358	lnc-LYPD5-1
chr12	126927026	126957336	lnc-TMEM132B-9
chr12	99325459	99370434	lnc-APAF1-1
chr12	97379433	97987764	RMST
chr15	65385346	65393966	lnc-PDCD7-1
chr12	10516367	10551105	lnc-KLRD1-1
chr5	6582248	6589345	LINC01018
chr15	40977813	40987307	RAD51-AS1
chr5	157213302	157277289	lnc-LSM11-1
chr19	48978356	48985570	lnc-LMTK3-1
chr12	10088930	10096094	lnc-CLEC2A-1
chr2	129622173	129626301	lnc-UGGT1-1
chr12	132241510	132242592	lnc-DDX51-6
chr20	57089950	57194948	APCDD1L-AS1
chr5	158526988	158544496	lnc-UBLCP1-5
chr20	37034657	37079565	SNHG17
chr5	149187139	149189250	lnc-PDE6A-1
chr3	178243254	178578193	KCNMB2-AS1
chr20	62665696	62671315	LINC00176
chr2	231849082	231860763	SPATA3-AS1
chrX	137793613	137798779	FGF13-AS1
chr16	1722897	1727907	lnc-IFT140-2
chr16	57477061	57481271	lnc-COQ9-1
chr19	44384597	44405994	lnc-ZNF404-1
chr4	110266759	110354973	SEC24B-AS1
chr7	38342348	38345247	lnc-AMPH-2
chr6	36107069	36164982	lnc-SLC26A8-1
chr9	72433282	72435655	C9orf135-AS1
chr8	12394587	12523139	lnc-LONRF1-2
chr20	55839428	55862716	lnc-SPO11-1
chr11	115623422	115631345	LINC00900
chrX	117569274	117579991	lnc-KLHL13-1
chr11	70212557	70244594	lnc-SHANK2-1
chr1	231464487	231467017	lnc-C1orf124-1
chr6	10428017	10435107	LINC00518
chr18	77905551	77936315	PARD6G-AS1
chr10	8058531	8096328	GATA3-AS1
chr12	130165971	130182772	lnc-RIMBP2-6
chr11	71725336	71731956	lnc-IL18BP-1
chr6	3229005	3288894	lnc-PSMG4-1
chr11	124629024	124642637	lnc-NRGN-1
chr3	50297828	50339249	lnc-HYAL3-1
chr3	161143502	161166030	lnc-OTOL1-1
chr19	15050245	16748905	lnc-OR7C2-1
chr8	144731829	144738588	lnc-TSTA3-2
chr9	118235806	118454445	lnc-DEC1-3
chr12	6437932	6447620	lnc-PLEKHG6-1
chr5	42982516	43082842	lnc-C5orf39-1
chr12	116971977	116973135	lnc-C12orf49-9
chr1	20010583	20016628	lnc-RNF186-1
chr1	118320270	118321523	lnc-FAM46C-1
chr12	70099752	70132348	lnc-BEST3-1
chr7	27169595	27195547	HOXA-AS3
chr11	121318039	121323722	lnc-BLID-3
chr19	19017010	19020282	lnc-DDX49-1
chr13	41792718	41794134	lnc-NAA16-2
chr8	128084938	128494384	lnc-TMEM75-3
chr6	26471518	26482737	lnc-ZNF322-2
chr10	88708433	88857348	lnc-GLUD1-1
chr9	136890560	136899788	LINC00094
chr15	91413147	91579841	lnc-FES-2
chr11	111381324	111384613	lnc-C11orf88-1
chr12	246576	258335	lnc-SLC6A12-3
chr21	25801051	25920256	lnc-JAM2-6
chr12	6301562	6307505	lnc-CD9-1
chr5	8191978	8510671	lnc-FASTKD3-1
chr19	47987525	48007918	NAPA-AS1
chr12	43009304	43040300	lnc-PRICKLE1-1
chr4	68566994	68946670	UBA6-AS1
chr10	72370072	72428574	lnc-ADAMTS14-2
chr19	59010857	59023780	lnc-ZNF446-1
chr12	68659962	69187743	lnc-AC124890.1-1
chr16	48390710	48392738	lnc-PHKB-5
chr5	140797765	140892510	lnc-DIAPH1-2
chr11	129482010	129487164	lnc-NFRKB-2
chr7	136370305	136866854	lnc-PTN-2
chr12	50222324	50241903	BCDIN3D-AS1
chr14	94463615	94478041	LINC00521
chr19	35279437	35323773	lnc-ZNF599-2
chr3	72639369	73447965	lnc-GXYLT2-1
chr11	59025581	59051506	lnc-MPEG1-1
chr20	10642577	10643711	lnc-C20orf94-1
chr12	127399748	127544956	lnc-SLC15A4-15
chr14	50394288	50571820	lnc-C14orf183-1
chr15	57592038	57600717	LINC00926
chr15	32878202	32907366	lnc-RP11-632K20.1.1-5
chr9	8858017	8865021	PTPRD-AS1
chr7	64519836	64542085	lnc-ERV3-1-1
chr3	172427786	172443953	lnc-ECT2-1
chr1	71547006	71955659	ZRANB2-AS2
chr11	111284966	111288911	lnc-BTG4-2
chr12	73509736	73537638	lnc-ZFC3H1-8
chr14	101532046	101544247	lnc-RTL1-3
chr3	107113580	107184306	lnc-CCDC54-1
chr6	28058877	28105448	ZSCAN16-AS1
chr14	31345384	31359027	lnc-STRN3-1
chr1	54515816	54518429	lnc-TCEANC2-1
chr19	57352218	57361332	MIMT1
chr3	128206923	128260671	GATA2-AS1
chr21	19933582	20132321	MIR548XHG
chr21	43131679	43135935	LINC00479
chr5	27472375	27496508	LINC01021
chr4	166651930	166678789	lnc-TMEM192-1
chr12	98879321	98897676	lnc-RP11-181C3.1.1-1
chrX	101854133	102172295	LINC00630
chr12	3592877	3601985	lnc-EFCAB4B-1
chr17	16879312	16884667	lnc-TNFRSF13B-1
chr19	58637696	58640400	lnc-ZNF135-1
chr12	124996494	125005135	lnc-FAM101A-3
chr8	96079035	96085410	lnc-TP53INP1-1
chr1	171314243	171314446	lnc-MYOC-6
chr11	2965660	3013607	lnc-NAP1L4-1
chr3	71338907	71359918	FOXP1-AS1
chr19	34790581	34820103	lnc-RPS4XP21-1
chr6	22124693	22222873	NBAT1
chr11	118307943	118309873	lnc-RP11-770J1.4.1-1
chr19	19101701	19104419	lnc-ARMC6-1
chr9	123587105	123617146	PSMD5-AS1
chr8	61297146	61429354	LINC01301
chr16	70835989	70840039	lnc-IL34-3
chr14	65517921	65520344	lnc-RAB15-1
chr2	200320540	200341658	SATB2-AS1
chr2	10702417	10709759	lnc-HPCAL1-2
chr13	114253447	114256824	lnc-ATP4B-1
chr15	30857142	30917976	lnc-RP11-382B18.2.1-1
chr17	71272638	71274712	lnc-C17orf80-1
chr12	94185691	94370048	lnc-RP11-1105G2.3.1-4
chr12	127210815	127230800	LINC00943
chr2	56400527	56412913	lnc-EFEMP1-3
chr16	86320032	86326995	lnc-FOXF1-2
chr2	47419543	47572296	lnc-CALM2-2
chr17	30748304	30773056	lnc-MYO1D-1
chr16	31711910	31719077	lnc-ZNF720-1
chr12	28974907	28978764	lnc-ERGIC2-5
chr12	95801710	95830604	lnc-RP11-167N24.6.1-4
